ISO3_CountryCode,REG_ID,highway_length_meters,region_area_m2
AGO,AODHS2015506021,12476737.275524061,74033691495.63625
AGO,AODHS2015506026,6061038.345783346,83719440885.99254
AGO,AODHS2015506020,12848549.728589004,34979589788.24728
AGO,AODHS2015506025,14131879.653783038,84245318393.56314
AGO,AODHS2015506023,7406473.458724287,216670666456.90848
AGO,AODHS2015506015,3327922.8095118958,20948840840.28842
AGO,AODHS2015506016,12128625.032083971,57656614623.576096
AGO,AODHS2015506014,21801030.655830998,19356516951.33879
AGO,AODHS2015506018,9198313.334701823,100771376279.42273
AGO,AODHS2015506027,5889885.421507783,84646021191.31065
AGO,AODHS2015506022,12363072.558717106,211529799802.5839
AGO,AODHS2015506024,4544223.826133254,61281114375.0455
AGO,AODHS2015506013,7180761.948045519,63564718561.57853
AGO,AODHS2015506012,3116323.462257646,37736800731.38768
AGO,AODHS2015506028,4682805.319612612,20748233528.59964
AGO,AODHS2015506017,9108650.317465233,89232813406.43324
AGO,AODHS2015506011,2582138.265795625,7078115183.2648535
AGO,AODHS2015506019,11164375.16237692,41306957744.15162
BEN,BJDHS2012387009,5884417.883294254,27955834060.204155
BEN,BJDHS2012387002,5288926.514115401,21468592361.08531
BEN,BJDHS2012387005,7643218.682332659,3162570012.771758
BEN,BJDHS2012387008,9165842.47952172,26696274517.24444
BEN,BJDHS2012387018,5394723.41695279,14312209554.698668
BEN,BJDHS2012387012,1978070.2102619393,2434544926.9697323
BEN,BJDHS2012387003,3095179.7587741623,11340853027.195976
BEN,BJDHS2012387006,985740.6578705471,70527431.22107735
BEN,BJDHS2012387011,2094939.152379558,1616975987.7930722
BEN,BJDHS2012387014,4168061.1743804393,1414860964.7575428
BEN,BJDHS2012387015,4486105.746217915,3459231724.992815
BEN,BJDHS2012387017,4637325.985298554,5397006862.242433
BEN,BJDHS2017387009,5884417.883294254,27955834060.204155
BEN,BJDHS2017387002,5288926.514115401,21468592361.08531
BEN,BJDHS2017387005,7643218.682332659,3162570012.771758
BEN,BJDHS2017387008,9165842.47952172,26696274517.24444
BEN,BJDHS2017387018,5394723.41695279,14312209554.698668
BEN,BJDHS2017387012,1978070.2102619393,2434544926.9697323
BEN,BJDHS2017387003,3095179.7587741623,11340853027.195976
BEN,BJDHS2017387006,985740.6578705471,70527431.22107735
BEN,BJDHS2017387011,2094939.152379558,1616975987.7930722
BEN,BJDHS2017387014,4168061.1743804393,1414860964.7575428
BEN,BJDHS2017387015,4486105.746217915,3459231724.992815
BEN,BJDHS2017387017,4637325.985298554,5397006862.242433
BFA,BFDHS2010374012,13117251.447689082,35948884799.20303
BFA,BFDHS2010374021,5596702.629312021,19098652222.09143
BFA,BFDHS2010374010,13167591.123021709,2994877578.533092
BFA,BFDHS2010374016,3819257.1920041237,15364247456.303207
BFA,BFDHS2010374017,8120068.626566821,20749978384.487926
BFA,BFDHS2010374018,13393259.899736153,22624438673.72245
BFA,BFDHS2010374014,4257413.288969053,11832247850.327787
BFA,BFDHS2010374019,9093800.710385978,48751799036.26915
BFA,BFDHS2010374022,9986474.446371425,26529156656.496674
BFA,BFDHS2010374020,10718294.224241294,17267136485.69276
BFA,BFDHS2010374015,3368914.659531596,9029256213.189877
BFA,BFDHS2010374023,12413775.31498382,38482664797.70496
BFA,BFDHS2010374024,3320302.9869975494,16936184565.316772
BFA,BFMIS2014374012,13117251.447689082,35948884799.20303
BFA,BFMIS2014374021,5596702.629312021,19098652222.09143
BFA,BFMIS2014374010,13167591.123021709,2994877578.533092
BFA,BFMIS2014374016,3819257.1920041237,15364247456.303207
BFA,BFMIS2014374017,8120068.638130912,20749978409.51977
BFA,BFMIS2014374018,13393259.899736153,22624438673.72245
BFA,BFMIS2014374014,4257413.288969053,11832247850.327787
BFA,BFMIS2014374019,9093800.748608526,48751799189.193306
BFA,BFMIS2014374022,9986474.446371425,26529156656.496674
BFA,BFMIS2014374020,10718294.226983458,17267136496.215878
BFA,BFMIS2014374015,3368914.64522534,9029256177.634922
BFA,BFMIS2014374023,12413775.31498382,38482664797.70496
BFA,BFMIS2014374024,3320302.9869975494,16936184565.316772
BFA,BFMIS2017374012,13117251.447689082,35948884799.20303
BFA,BFMIS2017374021,5596702.629312021,19098652222.09143
BFA,BFMIS2017374010,13167591.123021709,2994877578.533092
BFA,BFMIS2017374016,3819257.1920041237,15364247456.303207
BFA,BFMIS2017374017,8120068.638130912,20749978409.51977
BFA,BFMIS2017374018,13393259.899736153,22624438673.72245
BFA,BFMIS2017374014,4257413.288969053,11832247850.327787
BFA,BFMIS2017374019,9093800.748608526,48751799189.193306
BFA,BFMIS2017374022,9986474.446371425,26529156656.496674
BFA,BFMIS2017374020,10718294.226983458,17267136496.215878
BFA,BFMIS2017374015,3368914.64522534,9029256177.634922
BFA,BFMIS2017374023,12413775.31498382,38482664797.70496
BFA,BFMIS2017374024,3320302.9869975494,16936184565.316772
CMR,CMDHS2011396005,19624645.2644464,64154167967.72499
CMR,CMDHS2011396009,16467392.803698638,68788568417.15317
CMR,CMDHS2011396003,3384958.6889169463,1465564592.2387092
CMR,CMDHS2011396011,8963994.784312582,109928987703.18922
CMR,CMDHS2011396007,15996321.442608152,35725327820.9156
CMR,CMDHS2011396014,4402252.863149946,18990382622.710346
CMR,CMDHS2011396006,11931226.180236345,67962723802.22904
CMR,CMDHS2011396016,7989804.4879215695,17587952266.50034
CMR,CMDHS2011396010,6231748.559529233,47520887653.64741
CMR,CMDHS2011396017,5133319.211363216,24680692041.396317
CMR,CMDHS2011396013,15361410.400918728,14107015298.650631
CMR,CMDHS2011396002,2231744.869633491,246308643.8729281
CMR,CMDHS2018396005,19624645.2644464,64154167967.72499
CMR,CMDHS2018396009,14972210.57851565,68619058655.55025
CMR,CMDHS2018396003,3384958.6889169463,1465564592.2387092
CMR,CMDHS2018396011,8963994.784312582,109928987703.18922
CMR,CMDHS2018396007,15996321.442608152,35725327820.9156
CMR,CMDHS2018396014,4402252.863149946,18990382622.710346
CMR,CMDHS2018396006,11931226.180236345,67962723802.22904
CMR,CMDHS2018396016,7990523.247149017,17577035769.12325
CMR,CMDHS2018396010,6231748.559529233,47520887653.64741
CMR,CMDHS2018396017,5133319.211363216,24680692041.396317
CMR,CMDHS2018396013,15361410.400918728,14107015298.650631
CMR,CMDHS2018396002,3726927.0948164496,415818405.4758444
TCD,TDDHS2014445005,6274095.435256249,96402022216.82492
TCD,TDDHS2014445006,6523535.874416,410646371401.32007
TCD,TDDHS2014445007,10664236.098694593,49417556321.10354
TCD,TDDHS2014445008,3239523.029622248,63026933688.575874
TCD,TDDHS2014445009,8009906.830966651,30294211237.05134
TCD,TDDHS2014445010,2719615.349392682,76837648578.9993
TCD,TDDHS2014445011,4745547.096840578,22765039990.875877
TCD,TDDHS2014445012,3102102.5366789065,9008468177.02361
TCD,TDDHS2014445013,4971868.318209205,23890326795.421
TCD,TDDHS2014445014,5927167.902713503,17581557469.02652
TCD,TDDHS2014445015,2537678.9547989946,18925638358.81714
TCD,TDDHS2014445016,2664075.4815114606,13116019359.316025
TCD,TDDHS2014445017,6424508.809558599,42033345238.02391
TCD,TDDHS2014445018,4276850.192748213,31263999507.18433
TCD,TDDHS2014445019,3505751.478808446,70663125135.60223
TCD,TDDHS2014445020,2171360.3451538165,17919045356.100056
TCD,TDDHS2014445021,3871204.56515849,55186129179.795364
TCD,TDDHS2014445023,1063230.6788997075,53892844692.91237
TCD,TDDHS2014445024,6000955.905238689,231525923010.55862
TCD,TDDHS2014445025,3548227.7932244227,38011398597.98526
COD,CDDHS2013503030,45074305.74092861,300008089113.0099
COD,CDDHS2013503020,19706473.675560996,54319774496.122246
COD,CDDHS2013503040,28680089.54180733,398427134289.0086
COD,CDDHS2013503090,18453300.339237873,155078359733.83585
COD,CDDHS2013503080,25369078.10533712,173415416414.26263
COD,CDDHS2013503070,66631572.602990374,498349293201.5291
COD,CDDHS2013503010,10559354.938052364,10907943489.73081
COD,CDDHS2013503062,8613500.106656132,128169024415.21825
COD,CDDHS2013503061,21156092.376562316,58480116776.47841
COD,CDDHS2013503050,55537868.07323505,506347545734.2677
COD,CDDHS2013503063,14919959.432508599,64423493601.55533
CIV,CIDHS2012395008,10440804.072630435,28650992382.28497
CIV,CIDHS2012395009,2650696.30574711,7108067301.228855
CIV,CIDHS2012395010,8379108.216840477,28267056649.762352
CIV,CIDHS2012395011,15414679.707615875,31606762100.260868
CIV,CIDHS2012395012,12405615.761992184,41440237178.85655
CIV,CIDHS2012395013,7736204.598310314,38936276482.92082
CIV,CIDHS2012395014,10409677.508452602,53499103235.461975
CIV,CIDHS2012395015,11578225.767786495,30957720396.48526
CIV,CIDHS2012395016,19893864.943756457,40238405651.13319
CIV,CIDHS2012395017,11588382.985580307,26177444519.987663
CIV,CIDHS2012395001,5176260.626748124,649607432.6548455
GAB,GADHS2012407009,1587904.300774548,19361179199.801826
GAB,GADHS2012407007,2040147.2802100682,33821238691.291306
GAB,GADHS2012407001,1563927.3230221192,217432710.2590844
GAB,GADHS2012407010,1267381.6967168907,17106596492.536016
GAB,GADHS2012407013,3881761.7431128738,38213313604.24493
GAB,GADHS2012407014,1295643.6465305,18176510507.214615
GAB,GADHS2012407003,1958082.0953563899,43657001611.41294
GAB,GADHS2012407006,1403132.1842662946,29460932715.740208
GAB,GADHS2012407011,1288659.31256833,24830538519.116764
GAB,GADHS2012407004,2082924.5158428894,37881572605.86504
GMB,GMDHS2019533001,245.48078246881397,21935146.82560587
GMB,GMDHS2019533008,2208959.394881121,2098437310.038919
GMB,GMDHS2019533003,5322371.596609124,1921010817.1132472
GMB,GMDHS2019533007,1239496.3642771114,1560606254.3202796
GMB,GMDHS2019533002,572921.3956036349,51552712.73206091
GMB,GMDHS2019533005,2727873.9556101263,2356070248.547766
GMB,GMDHS2019533006,1049872.7181987981,1661611778.4346242
GMB,GMDHS2019533004,1009299.0384632624,1570251252.9662457
GHA,GHDHS2014408011,5417341.5552293975,9188173441.9892
GHA,GHDHS2014408001,10983766.149894193,24428588672.34176
GHA,GHDHS2014408010,5987545.536712695,19681131304.0727
GHA,GHDHS2014408009,19731670.295354817,71246366960.47194
GHA,GHDHS2014408007,15937910.296447285,40559185716.74333
GHA,GHDHS2014408004,9490051.455966342,20987902734.906094
GHA,GHDHS2014408002,8767866.223071054,9692258384.10697
GHA,GHDHS2014408003,17814070.450674575,3748878073.209005
GHA,GHDHS2014408006,19956060.17161552,24825524686.74902
GHA,GHDHS2014408005,12430437.569568885,19163723702.270992
GHA,GHMIS2016408011,5417341.5552293975,9188173441.9892
GHA,GHMIS2016408001,10983766.149894193,24428588672.34176
GHA,GHMIS2016408010,5987545.536712695,19681131304.0727
GHA,GHMIS2016408009,19731670.295354817,71246366960.47194
GHA,GHMIS2016408007,15937910.296447285,40559185716.74333
GHA,GHMIS2016408004,9490051.455966342,20987902734.906094
GHA,GHMIS2016408002,8767866.223071054,9692258384.10697
GHA,GHMIS2016408003,17814070.450674575,3748878073.209005
GHA,GHMIS2016408006,19956060.17161552,24825524686.74902
GHA,GHMIS2016408005,12430437.569568885,19163723702.270992
GHA,GHMIS2019408011,5417341.5552293975,9188173441.9892
GHA,GHMIS2019408001,10983766.149894193,24428588672.34176
GHA,GHMIS2019408010,5987545.536712695,19681131304.0727
GHA,GHMIS2019408009,19731670.295354817,71246366960.47194
GHA,GHMIS2019408007,15937910.296447285,40559185716.74333
GHA,GHMIS2019408004,9490051.455966342,20987902734.906094
GHA,GHMIS2019408002,8767866.223071054,9692258384.10697
GHA,GHMIS2019408003,17814070.450674575,3748878073.209005
GHA,GHMIS2019408006,19956060.17161552,24825524686.74902
GHA,GHMIS2019408005,12430437.569568885,19163723702.270992
GIN,GNDHS2012409011,15663906.017355751,35547798495.85994
GIN,GNDHS2012409005,1866617.7813789714,350042158.5638224
GIN,GNDHS2012409013,9468760.667682253,36953202223.089836
GIN,GNDHS2012409014,18413838.671744827,74624805446.69998
GIN,GNDHS2012409015,13198364.894058915,26466729722.99678
GIN,GNDHS2012409016,7641981.123027725,23716224682.17411
GIN,GNDHS2012409017,7266093.725419353,18405097438.059128
GIN,GNDHS2012409018,12359024.421440909,37011180132.67771
GIN,GNDHS2018409011,15663906.017355751,35547798495.85994
GIN,GNDHS2018409005,1866617.7813789714,350042158.5638224
GIN,GNDHS2018409013,9468760.667682253,36953202223.089836
GIN,GNDHS2018409014,18413838.671744827,74624805446.69998
GIN,GNDHS2018409015,13198364.894058915,26466729722.99678
GIN,GNDHS2018409016,7641981.123027725,23716224682.17411
GIN,GNDHS2018409017,7266093.725419353,18405097438.059128
GIN,GNDHS2018409018,12359024.421440909,37011180132.67771
GIN,GNMIS2021409011,15663906.017355751,35566489707.92189
GIN,GNMIS2021409005,1546204.50141172,283318961.521806
GIN,GNMIS2021409013,9470298.02316727,36967197927.3844
GIN,GNMIS2021409014,18414740.819585968,74619344373.1734
GIN,GNMIS2021409015,13864507.599523209,26568115180.630936
GIN,GNMIS2021409016,7642125.200815482,23725519121.617775
GIN,GNMIS2021409017,7265949.647631596,18395802998.615463
GIN,GNMIS2021409018,12359024.421440909,37002911343.790474
LSO,LSDHS2014423001,1434309.6549333986,2325477175.6701
LSO,LSDHS2014423005,2431904.0048370305,2818796955.2585816
LSO,LSDHS2014423002,3703899.348721104,3731782679.460015
LSO,LSDHS2014423009,869475.6453477428,5363824935.124659
LSO,LSDHS2014423010,1546747.0448793485,6269893044.730877
LSO,LSDHS2014423004,4857150.580143134,5317231924.312687
LSO,LSDHS2014423003,3287158.827666549,2621135731.879057
LSO,LSDHS2014423006,2375879.4359769747,4868887770.522982
LSO,LSDHS2014423008,935104.6965957738,2886975892.851517
LSO,LSDHS2014423007,1491501.3514826843,3815951564.5460396
LBR,LBDHS2013421009,7960124.194703045,30534314721.97466
LBR,LBDHS2013421002,3507821.8982490166,16734283601.7277
LBR,LBDHS2013421003,7018404.635790803,12467051200.433851
LBR,LBDHS2013421005,3319301.7198493294,26232129892.97753
LBR,LBDHS2013421008,1343882.9538949658,11317940603.161495
LBR,LBMIS2016421001,1406698.1493761076,215304601.58146
LBR,LBMIS2016421009,7960124.194703045,30541927625.050953
LBR,LBMIS2016421005,3319301.7198493294,26226917282.323723
LBR,LBMIS2016421008,1344034.9444869803,11324746002.992832
LBR,LBMIS2016421002,3507821.8982490166,16722197972.907051
LBR,LBMIS2016421003,5587417.826799623,12243331889.856531
LBR,LBDHS2019421009,7960124.194703045,30534314721.97466
LBR,LBDHS2019421002,3507821.8982490166,16734283601.7277
LBR,LBDHS2019421003,7018404.635790803,12467051200.433851
LBR,LBDHS2019421005,3319301.7198493294,26232129892.97753
LBR,LBDHS2019421008,1343882.9538949658,11317940603.161495
MLI,MLMIS2015427002,50968356.72063044,129846821395.52371
MLI,MLMIS2015427003,82461746.88108124,96146248455.07495
MLI,MLMIS2015427005,42751879.09975702,74646742083.33298
MLI,MLMIS2015427006,39145140.21467416,65089246096.18777
MLI,MLMIS2015427008,39279103.63922529,87385702424.13336
MLI,MLMIS2015427014,3701472.8380272165,229869865.12061036
MLI,MLDHS2018427002,50968356.72063044,129846821395.52371
MLI,MLDHS2018427003,82461746.88108124,96146248455.07495
MLI,MLDHS2018427005,42751879.09975702,74646742083.33298
MLI,MLDHS2018427006,39145140.21467416,65089246096.18777
MLI,MLDHS2018427008,39279103.63922529,87385702424.13336
MLI,MLDHS2018427013,12064586.140947884,567943855832.3232
MLI,MLDHS2018427012,10468206.616056899,194197828353.3804
MLI,MLDHS2018427011,9582584.46582573,163685700392.67343
MLI,MLDHS2018427014,3701472.8380272165,229869865.12061036
MLI,MLMIS2021427002,50968356.72063044,129846821395.52371
MLI,MLMIS2021427003,82354373.49269676,96124551291.37434
MLI,MLMIS2021427005,42751879.09975702,74646742083.33298
MLI,MLMIS2021427006,39145140.21467416,65089246096.18777
MLI,MLMIS2021427008,39279103.63922529,87385702424.13336
MLI,MLMIS2021427013,12064586.140947884,567943855832.3232
MLI,MLMIS2021427012,10389804.324061548,191225573867.20953
MLI,MLMIS2021427011,9660983.003239414,166657817317.30792
MLI,MLMIS2021427014,3808846.226411259,251567028.8212099
MRT,MRDHS2020428012,5711232.055444596,256362398580.3416
MRT,MRDHS2020428008,1874113.4335496663,39115084419.937805
MRT,MRDHS2020428010,2604435.5593243283,36387945925.5949
MRT,MRDHS2020428013,1029718.7217412774,42580918256.35651
MRT,MRDHS2020428009,1254602.7094872643,14797768585.533081
MRT,MRDHS2020428015,983809.6369356548,11374523493.567602
MRT,MRDHS2020428006,3820529.739074783,199918137775.32135
MRT,MRDHS2020428007,1977452.4370349594,53441356961.61678
MRT,MRDHS2020428018,1944905.8786654582,124934588.2281456
MRT,MRDHS2020428017,841142.9528244644,100954100.82428169
MRT,MRDHS2020428019,1176084.262561932,132027347.77432606
MRT,MRDHS2020428014,1510916.258093949,109851959889.20029
MRT,MRDHS2020428016,6148560.753782678,342983982521.1054
MRT,MRDHS2020428011,3967379.008026386,73519336967.3213
"NAM",NMDHS2013435008,1367297.327875567,15872074273.847572
"NAM",NMDHS2013435014,6082836.968244409,74059538957.4261
"NAM",NMDHS2013435017,8305155.877454448,132540490520.67093
"NAM",NMDHS2013435018,10907254.211383533,202756774085.3185
"NAM",NMDHS2013435009,4083651.2057744474,54447657728.72669
"NAM",NMDHS2013435015,5158744.393062678,43687785965.23453
"NAM",NMDHS2013435006,6481961.357441315,129187095500.51918
"NAM",NMDHS2013435003,1257932.5346615245,11763822234.666615
"NAM",NMDHS2013435012,7171468.4017272815,98444852097.29405
"NAM",NMDHS2013435002,2300080.9507393306,29494586444.959377
"NAM",NMDHS2013435004,1405409.7868569486,9599248290.253376
"NAM",NMDHS2013435005,3479000.3200416886,43005357894.973785
"NAM",NMDHS2013435013,11170820.609674083,118872921596.18893
NER,NIDHS2012434006,13074261.954754688,704216086302.8011
NER,NIDHS2012434010,12250732.375179222,159044730531.09088
NER,NIDHS2012434002,17648236.52357171,33481234474.358727
NER,NIDHS2012434003,24430195.303992994,41714215781.32066
NER,NIDHS2012434005,27075931.00955369,113425402081.76978
NER,NIDHS2012434007,41896321.923546314,96867894967.72865
NER,NIDHS2012434009,20450825.164524432,155679444943.2495
NER,NIDHS2012434001,3359643.830817502,402269392.28272015
NER,NIMIS2021434006,13074261.954754688,704216086302.8011
NER,NIMIS2021434010,12250732.375179222,159044730531.09088
NER,NIMIS2021434002,17648236.52357171,33481234474.358727
NER,NIMIS2021434003,24430195.303992994,41714215781.32066
NER,NIMIS2021434005,27075931.00955369,113425402081.76978
NER,NIMIS2021434007,41896321.923546314,96867894967.72865
NER,NIMIS2021434009,20450825.164524432,155679444943.2495
NER,NIMIS2021434001,3359643.830817502,402269392.28272015
NGA,NGMIS2015433005,145593270.5505232,231500815362.2939
NGA,NGMIS2015433006,191628831.07176852,290487067475.34
NGA,NGMIS2015433007,143935829.80543172,223059072799.8356
NGA,NGMIS2015433008,63267515.489475295,28931050817.37384
NGA,NGMIS2015433010,65967553.03761071,84492605517.87856
NGA,NGMIS2015433009,97822495.22305775,78071869517.16803
NGA,NGDHS2018433005,145593270.5505232,231500815362.2939
NGA,NGDHS2018433006,191628831.07176852,290487067475.34
NGA,NGDHS2018433007,143935829.80543172,223059072799.8356
NGA,NGDHS2018433008,63267515.489475295,28931050817.37384
NGA,NGDHS2018433010,65967553.03761071,84492605517.87856
NGA,NGDHS2018433009,97822495.22305775,78071869517.16803
NGA,NGMIS2021433005,145593270.5505232,231500815362.2939
NGA,NGMIS2021433006,191628831.07176852,290487067475.34
NGA,NGMIS2021433007,143935829.80543172,223059072799.8356
NGA,NGMIS2021433008,63267515.489475295,28931050817.37384
NGA,NGMIS2021433010,65967553.03761071,84492605517.87856
NGA,NGMIS2021433009,97822495.22305775,78071869517.16803
SEN,SNDHS2018444022,26284118.37616701,29987499358.459385
SEN,SNDHS2018444023,25228645.705346845,79067576233.61089
SEN,SNDHS2018444024,29913345.447355226,92742248401.18208
SEN,SNDHS2018444001,19101139.274499387,7730195791.0245075
SEN,SNDHS2019444022,26284118.37616701,29987499358.459385
SEN,SNDHS2019444023,25228645.705346845,79067576233.61089
SEN,SNDHS2019444024,29913345.447355226,92742248401.18208
SEN,SNDHS2019444001,19101139.274499387,7730195791.0245075
SEN,SNMIS2020444022,26284118.37616701,29987499358.459385
SEN,SNMIS2020444022,26284118.37616701,29987499358.459385
SEN,SNMIS2020444023,25228645.705346845,79067576233.61089
SEN,SNMIS2020444023,25228645.705346845,79067576233.61089
SEN,SNMIS2020444024,29913345.447355226,92742248401.18208
SEN,SNMIS2020444024,29913345.447355226,92742248401.18208
SEN,SNMIS2020444001,19101139.274499387,7730195791.0245075
SEN,SNMIS2020444001,19101139.274499387,7730195791.0245075
SLE,SLDHS2013510001,7011194.074253769,16027468894.475252
SLE,SLDHS2013510002,17154532.492375217,36858089658.328186
SLE,SLDHS2013510003,8542592.96701137,20513669275.04207
SLE,SLDHS2019510001,7005309.650933828,16018710272.159428
SLE,SLDHS2019510006,8869168.750290455,14059708636.636444
SLE,SLDHS2019510005,8284625.641401543,22788892872.59007
SLE,SLDHS2019510003,8543883.712465923,20528114373.902588
SLE,SLDHS2019510004,1825458.6198101768,696410112.1722763
ZAF,ZADHS2016455002,105130941.77052647,233451648511.01413
ZAF,ZADHS2016455004,66150034.16420916,168177334776.7866
ZAF,ZADHS2016455007,68331003.27568537,22326511578.06877
ZAF,ZADHS2016455005,115813391.35928696,123274485899.4902
ZAF,ZADHS2016455009,102579476.07060601,150330999400.8951
ZAF,ZADHS2016455008,69466458.00035723,94423226634.09561
ZAF,ZADHS2016455006,64457492.86716106,130538772231.39383
ZAF,ZADHS2016455003,61305029.94882866,491637744336.3137
ZAF,ZADHS2016455001,64411483.8544832,183088765659.24167
TGO,TGDHS2013446005,4525310.496370242,13445996218.068258
TGO,TGDHS2013446003,4370706.283840149,327308403.65970546
TGO,TGDHS2013446006,8621739.241026413,12158882447.419613
TGO,TGDHS2013446002,6646950.947965571,5980589112.512777
TGO,TGDHS2013446004,8445903.691554438,17619011203.79653
TGO,TGDHS2013446007,5703313.28551872,8761705411.026491
TGO,TGMIS2017446005,4529680.775950617,13454781464.846315
TGO,TGMIS2017446003,1303446.498437487,92449185.20315593
TGO,TGMIS2017446006,8627562.127903963,12172119237.052776
TGO,TGMIS2017446002,9750202.651605688,6223363552.968974
TGO,TGMIS2017446004,8458559.230905168,17637421746.44914
TGO,TGMIS2017446007,5697490.398641171,8748468621.393328
